filenames,filepaths,clusters
er_file_2024_02_01_9_05_50.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_26012024/172/er_file_2024_02_01_9_05_50.wav,0
er_file_2024_02_01_15_03_08.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_26012024/186/er_file_2024_02_01_15_03_08.wav,0
er_file_2024_01_28_15_40_41.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_26012024/43/er_file_2024_01_28_15_40_41.wav,0
er_file_2024_01_31_9_54_33.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_26012024/112/er_file_2024_01_31_9_54_33.wav,0
er_file_2024_01_28_14_34_44.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_26012024/41/er_file_2024_01_28_14_34_44.wav,0
er_file_2024_01_31_14_24_43.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_26012024/123/er_file_2024_01_31_14_24_43.wav,0
er_file_2024_01_29_8_58_01.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_26012024/48/er_file_2024_01_29_8_58_01.wav,0
er_file_2024_01_27_8_31_47.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_26012024/4/er_file_2024_01_27_8_31_47.wav,0
er_file_2024_01_29_10_10_11.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_26012024/49/er_file_2024_01_29_10_10_11.wav,0
er_file_2024_01_28_14_00_15.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_26012024/40/er_file_2024_01_28_14_00_15.wav,0
er_file_2024_02_01_14_31_10.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_26012024/185/er_file_2024_02_01_14_31_10.wav,0
er_file_2023_11_26_8_36_54.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_25112023/16/er_file_2023_11_26_8_36_54.wav,0
er_file_2024_02_05_8_33_05.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_03022024/439/er_file_2024_02_05_8_33_05.wav,0
er_file_2024_02_04_15_26_08.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_03022024/376/er_file_2024_02_04_15_26_08.wav,0
er_file_2023_12_13_16_09_22.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_07122023/235/er_file_2023_12_13_16_09_22.wav,0
er_file_2023_12_09_10_37_08.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_07122023/9/er_file_2023_12_09_10_37_08.wav,0
er_file_2023_12_09_11_00_10.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_07122023/9/er_file_2023_12_09_11_00_10.wav,0
er_file_2023_12_09_9_11_53.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_07122023/7/er_file_2023_12_09_9_11_53.wav,0
er_file_2023_12_12_14_04_25.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_07122023/215/er_file_2023_12_12_14_04_25.wav,0
er_file_2023_12_14_9_15_07.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_07122023/249/er_file_2023_12_14_9_15_07.wav,0
er_file_2023_10_30_9_50_50.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21102023/168/er_file_2023_10_30_9_50_50.wav,0
er_file_2023_10_30_7_43_10.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21102023/167/er_file_2023_10_30_7_43_10.wav,0
er_file_2023_10_29_8_40_43.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21102023/152/er_file_2023_10_29_8_40_43.wav,0
er_file_2023_10_30_13_21_25.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21102023/170/er_file_2023_10_30_13_21_25.wav,0
er_file_2024_01_02_8_57_50.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_01012024/66/er_file_2024_01_02_8_57_50.wav,0
er_file_2024_01_02_8_57_56.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_01012024/66/er_file_2024_01_02_8_57_56.wav,0
er_file_2024_01_02_11_38_51.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_01012024/74/er_file_2024_01_02_11_38_51.wav,0
er_file_2023_09_16_17_40_20.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_10092023/62/er_file_2023_09_16_17_40_20.wav,0
er_file_2023_09_12_17_29_58.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_10092023/22/er_file_2023_09_12_17_29_58.wav,0
er_file_2023_09_28_17_28_04.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/104/er_file_2023_09_28_17_28_04.wav,0
er_file_2023_09_30_18_19_59.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/134/er_file_2023_09_30_18_19_59.wav,0
er_file_2023_10_03_11_23_19.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/169/er_file_2023_10_03_11_23_19.wav,0
er_file_2023_09_27_15_52_03.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/89/er_file_2023_09_27_15_52_03.wav,0
er_file_2023_09_30_12_17_48.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/127/er_file_2023_09_30_12_17_48.wav,0
er_file_2023_09_26_17_24_22.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/80/er_file_2023_09_26_17_24_22.wav,0
er_file_2023_10_01_12_54_15.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/143/er_file_2023_10_01_12_54_15.wav,0
er_file_2023_10_04_10_50_36.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/186/er_file_2023_10_04_10_50_36.wav,0
er_file_2023_10_05_8_41_11.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/198/er_file_2023_10_05_8_41_11.wav,0
er_file_2023_10_02_9_32_04.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/153/er_file_2023_10_02_9_32_04.wav,0
er_file_2023_10_04_15_41_46.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/191/er_file_2023_10_04_15_41_46.wav,0
er_file_2023_09_25_12_38_49.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/62/er_file_2023_09_25_12_38_49.wav,0
er_file_2023_10_01_8_58_40.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/138/er_file_2023_10_01_8_58_40.wav,0
er_file_2023_09_23_8_54_38.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/30/er_file_2023_09_23_8_54_38.wav,0
er_file_2023_09_28_10_48_23.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/97/er_file_2023_09_28_10_48_23.wav,0
er_file_2023_09_24_9_47_45.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/46/er_file_2023_09_24_9_47_45.wav,0
er_file_2023_10_04_8_34_30.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/183/er_file_2023_10_04_8_34_30.wav,0
er_file_2023_10_04_8_45_38.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/183/er_file_2023_10_04_8_45_38.wav,0
