filenames,filepaths,clusters
er_file_2023_10_03_15_13_36.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/175/er_file_2023_10_03_15_13_36.wav,0
er_file_2023_10_03_15_25_34.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/175/er_file_2023_10_03_15_25_34.wav,0
er_file_2023_10_03_15_25_37.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/175/er_file_2023_10_03_15_25_37.wav,0
er_file_2023_09_30_14_11_16.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/128/er_file_2023_09_30_14_11_16.wav,0
er_file_2023_09_30_14_11_18.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/128/er_file_2023_09_30_14_11_18.wav,0
er_file_2023_09_30_14_12_44.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/128/er_file_2023_09_30_14_12_44.wav,0
er_file_2023_10_02_9_49_23.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/153/er_file_2023_10_02_9_49_23.wav,0
er_file_2023_09_25_12_39_08.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/62/er_file_2023_09_25_12_39_08.wav,0
er_file_2023_10_05_10_37_52.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/199/er_file_2023_10_05_10_37_52.wav,0
er_file_2023_09_28_10_20_10.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/97/er_file_2023_09_28_10_20_10.wav,0
er_file_2023_10_04_10_01_04.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/184/er_file_2023_10_04_10_01_04.wav,0
er_file_2023_10_04_9_56_07.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/184/er_file_2023_10_04_9_56_07.wav,0
er_file_2023_10_04_9_56_50.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/184/er_file_2023_10_04_9_56_50.wav,0
er_file_2023_10_04_9_59_33.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/184/er_file_2023_10_04_9_59_33.wav,0
er_file_2023_10_04_8_28_12.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/183/er_file_2023_10_04_8_28_12.wav,0
